cell,corners,centroid,auxin,area,meristematic,pericycle,centroid_y,distance,tick
277,"[[54, 167], [54, 173], [57, 173], [57, 167]]","[55.5, 170.0]",167.008,18,True,True,170.0,8.0,15
64,"[[54, 83], [54, 88], [57, 88], [57, 83]]","[55.5, 85.5]",396.816,15,True,True,85.5,10.5,16
80,"[[54, 90], [54, 96], [57, 96], [57, 90]]","[55.5, 93.0]",301.707,18,True,True,93.0,0.8333333333333286,16
113,"[[54, 107], [54, 113], [57, 113], [57, 107]]","[55.5, 110.0]",237.705,18,True,True,110.0,0.6666666666666572,16
147,"[[54, 123], [54, 127], [57, 127], [57, 123]]","[55.5, 125.0]",227.27,12,True,True,125.0,1.5,16
195,"[[54, 140], [54, 143], [57, 143], [57, 140]]","[55.5, 141.5]",192.342,9,True,True,141.5,2.1666666666666856,16
259,"[[54, 160], [54, 163], [57, 163], [57, 160]]","[55.5, 161.5]",168.83,9,True,True,161.5,0.6666666666666572,16
291,"[[54, 170], [54, 173], [57, 173], [57, 170]]","[55.5, 171.5]",156.993,9,True,True,171.5,6.5,16
64,"[[54, 83], [54, 88], [57, 88], [57, 83]]","[55.5, 85.5]",410.192,15,True,True,85.5,10.5,17
79,"[[54, 90], [54, 96], [57, 96], [57, 90]]","[55.5, 93.0]",311.117,18,True,True,93.0,0.8333333333333286,17
112,"[[54, 107], [54, 110], [57, 110], [57, 107]]","[55.5, 108.5]",213.907,9,True,True,108.5,0.8333333333333428,17
159,"[[54, 126], [54, 130], [57, 130], [57, 126]]","[55.5, 128.0]",227.1,12,True,True,128.0,1.5,17
207,"[[54, 144], [54, 148], [57, 148], [57, 144]]","[55.5, 146.0]",182.778,12,True,True,146.0,2.3333333333333144,17
255,"[[54, 162], [54, 165], [57, 165], [57, 162]]","[55.5, 163.5]",165.874,9,True,True,163.5,2.666666666666657,17
286,"[[54, 172], [54, 175], [57, 175], [57, 172]]","[55.5, 173.5]",149.737,9,True,True,173.5,4.5,17
64,"[[54, 83], [54, 89], [57, 89], [57, 83]]","[55.5, 86.0]",407.232,18,True,True,86.0,11.0,18
79,"[[54, 91], [54, 97], [57, 97], [57, 91]]","[55.5, 94.0]",328.18,18,True,True,94.0,1.8333333333333286,18
125,"[[54, 109], [54, 112], [57, 112], [57, 109]]","[55.5, 110.5]",247.052,9,True,True,110.5,1.1666666666666572,18
171,"[[54, 124], [54, 127], [57, 127], [57, 124]]","[55.5, 125.5]",231.597,9,True,True,125.5,1.0,18
217,"[[54, 143], [54, 148], [57, 148], [57, 143]]","[55.5, 145.5]",193.543,15,True,True,145.5,1.8333333333333144,18
249,"[[54, 157], [54, 161], [57, 161], [57, 157]]","[55.5, 159.0]",175.93,12,True,True,159.0,1.8333333333333428,18
297,"[[54, 175], [54, 179], [57, 179], [57, 175]]","[55.5, 177.0]",149.397,12,True,True,177.0,1.0,18
64,"[[54, 83], [54, 89], [57, 89], [57, 83]]","[55.5, 86.0]",408.441,18,True,True,86.0,11.0,19
81,"[[54, 91], [54, 98], [57, 98], [57, 91]]","[55.5, 94.5]",319.338,21,True,True,94.5,2.3333333333333286,19
131,"[[54, 110], [54, 114], [57, 114], [57, 110]]","[55.5, 112.0]",242.806,12,True,True,112.0,2.666666666666657,19
163,"[[54, 122], [54, 126], [57, 126], [57, 122]]","[55.5, 124.0]",233.34,12,True,True,124.0,2.5,19
214,"[[54, 143], [54, 149], [57, 149], [57, 143]]","[55.5, 146.0]",200.917,18,True,True,146.0,2.3333333333333144,19
245,"[[54, 159], [54, 165], [57, 165], [57, 159]]","[55.5, 162.0]",175.413,18,True,True,162.0,1.1666666666666572,19
277,"[[54, 174], [54, 179], [57, 179], [57, 174]]","[55.5, 176.5]",154.562,15,True,True,176.5,1.5,19
64,"[[54, 83], [54, 89], [57, 89], [57, 83]]","[55.5, 86.0]",411.386,18,True,True,86.0,11.0,20
81,"[[54, 91], [54, 98], [57, 98], [57, 91]]","[55.5, 94.5]",319.694,21,True,True,94.5,2.3333333333333286,20
113,"[[54, 105], [54, 109], [57, 109], [57, 105]]","[55.5, 107.0]",234.105,12,True,True,107.0,2.333333333333343,20
163,"[[54, 125], [54, 130], [57, 130], [57, 125]]","[55.5, 127.5]",232.809,15,True,True,127.5,1.0,20
211,"[[54, 144], [54, 147], [57, 147], [57, 144]]","[55.5, 145.5]",186.861,9,True,True,145.5,1.8333333333333144,20
245,"[[54, 158], [54, 165], [57, 165], [57, 158]]","[55.5, 161.5]",183.92,21,True,True,161.5,0.6666666666666572,20
263,"[[54, 167], [54, 174], [57, 174], [57, 167]]","[55.5, 170.5]",172.854,21,True,True,170.5,7.5,20
64,"[[54, 83], [54, 90], [57, 90], [57, 83]]","[55.5, 86.5]",421.213,21,True,True,86.5,11.5,21
81,"[[54, 92], [54, 95], [57, 95], [57, 92]]","[55.5, 93.5]",304.531,9,True,True,93.5,1.3333333333333286,21
127,"[[54, 107], [54, 111], [57, 111], [57, 107]]","[55.5, 109.0]",234.526,12,True,True,109.0,0.3333333333333428,21
159,"[[54, 121], [54, 127], [57, 127], [57, 121]]","[55.5, 124.0]",244.909,18,True,True,124.0,2.5,21
209,"[[54, 145], [54, 148], [57, 148], [57, 145]]","[55.5, 146.5]",188.081,9,True,True,146.5,2.8333333333333144,21
255,"[[54, 160], [54, 163], [57, 163], [57, 160]]","[55.5, 161.5]",168.078,9,True,True,161.5,0.6666666666666572,21
303,"[[54, 175], [54, 178], [57, 178], [57, 175]]","[55.5, 176.5]",148.823,9,True,True,176.5,1.5,21
64,"[[54, 83], [54, 90], [57, 90], [57, 83]]","[55.5, 86.5]",434.619,21,True,True,86.5,11.5,22
81,"[[54, 92], [54, 95], [57, 95], [57, 92]]","[55.5, 93.5]",311.347,9,True,True,93.5,1.3333333333333286,22
127,"[[54, 108], [54, 113], [57, 113], [57, 108]]","[55.5, 110.5]",245.893,15,True,True,110.5,1.1666666666666572,22
