tick,cell_id,cx,cy,y_min,y_max,auxin
2,336,85.5,166.23735249012344,163.71742404444444,168.75728093580247,60.4783
2,343,56.5,171.27720938148147,168.75728093580247,173.79713782716047,60.4783
2,350,85.5,171.27720938148147,168.75728093580247,173.79713782716047,60.4783
2,357,56.5,176.3170662728395,173.79713782716047,178.8369947185185,60.4783
2,364,85.5,176.3170662728395,173.79713782716047,178.8369947185185,60.4783
2,371,56.5,181.3569231641975,178.8369947185185,183.87685160987652,60.4783
2,378,85.5,181.3569231641975,178.8369947185185,183.87685160987652,60.4783
2,385,56.5,186.39678005555555,183.87685160987652,188.91670850123455,60.4783
2,392,85.5,186.39678005555555,183.87685160987652,188.91670850123455,60.4783
2,399,56.5,191.43663694691355,188.91670850123455,193.95656539259258,60.4783
2,406,85.5,191.43663694691355,188.91670850123455,193.95656539259258,60.4783
2,413,56.5,196.4764938382716,193.95656539259258,198.9964222839506,60.4783
2,420,85.5,196.4764938382716,193.95656539259258,198.9964222839506,60.4783
2,427,56.5,201.5163507296296,198.9964222839506,204.03627917530864,60.4783
2,434,85.5,201.5163507296296,198.9964222839506,204.03627917530864,60.4783
2,441,56.5,206.55620762098766,204.03627917530864,209.07613606666666,60.4783
2,448,85.5,206.55620762098766,204.03627917530864,209.07613606666666,60.4783
2,455,56.5,211.59606451234566,209.07613606666666,214.1159929580247,60.4783
2,462,85.5,211.59606451234566,209.07613606666666,214.1159929580247,60.4783
2,469,56.5,216.63592140370372,214.1159929580247,219.15584984938272,60.4783
2,476,85.5,216.63592140370372,214.1159929580247,219.15584984938272,60.4783
2,483,56.5,221.67577829506172,219.15584984938272,224.19570674074072,60.4783
2,490,85.5,221.67577829506172,219.15584984938272,224.19570674074072,60.4783
2,497,56.5,226.71563518641972,224.19570674074072,229.23556363209875,60.4783
2,504,85.5,226.71563518641972,224.19570674074072,229.23556363209875,60.4783
2,511,56.5,231.75549207777777,229.23556363209875,234.27542052345677,60.4782
2,518,85.5,231.75549207777777,229.23556363209875,234.27542052345677,60.4782
2,525,56.5,236.79534896913577,234.27542052345677,239.3152774148148,60.4202
2,532,85.5,236.79534896913577,234.27542052345677,239.3152774148148,60.4202
2,539,56.5,241.83520586049383,239.3152774148148,244.35513430617283,40.6256
2,546,85.5,241.83520586049383,239.3152774148148,244.35513430617283,40.6256
2,553,56.5,246.87506275185183,244.35513430617283,249.39499119753083,20.9084
2,560,85.5,246.87506275185183,244.35513430617283,249.39499119753083,20.9084
2,567,56.5,251.91491964320986,249.39499119753083,254.43484808888888,20.8852
2,574,85.5,251.91491964320986,249.39499119753083,254.43484808888888,20.8852
2,581,56.5,256.9547765345679,254.43484808888888,259.4747049802469,20.896
2,588,85.5,256.9547765345679,254.43484808888888,259.4747049802469,20.896
2,595,56.5,261.9946334259259,259.4747049802469,264.5145618716049,20.8852
2,602,85.5,261.9946334259259,259.4747049802469,264.5145618716049,20.8852
2,609,56.5,267.03449031728394,264.5145618716049,269.55441876296294,20.896
2,616,85.5,267.03449031728394,264.5145618716049,269.55441876296294,20.896
2,623,56.5,272.07434720864194,269.55441876296294,274.594275654321,20.8747
2,630,85.5,272.07434720864194,269.55441876296294,274.594275654321,20.8747
2,637,56.5,281.1460896130864,274.594275654321,287.69790357185184,20.8935
2,644,85.5,281.1460896130864,274.594275654321,287.69790357185184,20.8935
2,651,56.5,294.7537032197531,287.69790357185184,301.8095028676543,20.9022
2,658,85.5,294.7537032197531,287.69790357185184,301.8095028676543,20.9022
2,665,56.5,309.87327389382716,301.8095028676543,317.93704492,20.9022
2,672,85.5,309.87327389382716,301.8095028676543,317.93704492,20.9022
2,679,56.5,327.5127730135803,317.93704492,337.0885011071605,20.9029
2,686,85.5,327.5127730135803,317.93704492,337.0885011071605,20.9029
2,693,56.5,348.68017195728396,337.0885011071605,360.2718428074074,20.9039
2,700,85.5,348.68017195728396,337.0885011071605,360.2718428074074,20.9039
2,707,56.5,374.38344210320986,360.2718428074074,388.49504139901234,20.9049
2,714,85.5,374.38344210320986,360.2718428074074,388.49504139901234,20.9049
2,721,56.5,405.63055482962966,388.49504139901234,422.7660682602469,20.906
2,728,85.5,405.63055482962966,388.49504139901234,422.7660682602469,20.906
2,735,56.5,443.27627397457775,422.7660682602469,463.7864796889086,20.9016
2,742,85.5,443.27627397457775,422.7660682602469,463.7864796889086,20.9016
2,749,56.5,491.30017028130374,463.7864796889086,518.8138608736989,11.9629
2,756,85.5,491.30017028130374,463.7864796889086,518.8138608736989,11.9629
2,763,56.5,546.3275514660938,518.8138608736989,573.8412420584889,1.6018
2,770,85.5,546.3275514660938,518.8138608736989,573.8412420584889,1.6018
2,777,56.5,601.3549326508839,573.8412420584889,628.868623243279,1.6004
2,784,85.5,601.3549326508839,573.8412420584889,628.868623243279,1.6004
2,791,56.5,656.382313835674,628.868623243279,683.8960044280692,1.6004
2,798,85.5,656.382313835674,628.868623243279,683.8960044280692,1.6004
