cell_id,cell_type,cx,cy,auxin,corners
518,peri,85.5,480.0202030334125,113.994,"[[88, 474.53], [83, 474.53], [83, 485.51], [88, 485.51]]"
519,endo,91.5,480.0202030334125,115.782,"[[95, 474.53], [88, 474.53], [88, 485.51], [95, 485.51]]"
520,cortex,100.5,480.0202030334125,116.103,"[[106, 474.53], [95, 474.53], [95, 485.51], [106, 485.51]]"
521,epidermis,111.0,480.0202030334125,157.853,"[[116, 474.53], [106, 474.53], [106, 485.51], [116, 485.51]]"
522,epidermis,31.0,490.83308037306256,156.525,"[[36, 485.51], [26, 485.51], [26, 496.16], [36, 496.16]]"
523,cortex,41.5,490.83308037306256,115.109,"[[47, 485.51], [36, 485.51], [36, 496.16], [47, 496.16]]"
524,endo,50.5,490.83308037306256,114.854,"[[54, 485.51], [47, 485.51], [47, 496.16], [54, 496.16]]"
525,peri,56.5,490.83308037306256,112.91,"[[59, 485.51], [54, 485.51], [54, 496.16], [59, 496.16]]"
526,vasc,61.0,490.83308037306256,108.982,"[[63, 485.51], [59, 485.51], [59, 496.16], [63, 496.16]]"
527,vasc,65.0,490.83308037306256,100.11,"[[67, 485.51], [63, 485.51], [63, 496.16], [67, 496.16]]"
528,vasc,69.0,490.83308037306256,95.9921,"[[71, 485.51], [67, 485.51], [67, 496.16], [71, 496.16]]"
529,vasc,73.0,490.83308037306256,95.9921,"[[75, 485.51], [71, 485.51], [71, 496.16], [75, 496.16]]"
530,vasc,77.0,490.83308037306256,100.11,"[[79, 485.51], [75, 485.51], [75, 496.16], [79, 496.16]]"
531,vasc,81.0,490.83308037306256,108.982,"[[83, 485.51], [79, 485.51], [79, 496.16], [83, 496.16]]"
532,peri,85.5,490.83308037306256,112.91,"[[88, 485.51], [83, 485.51], [83, 496.16], [88, 496.16]]"
533,endo,91.5,490.83308037306256,114.854,"[[95, 485.51], [88, 485.51], [88, 496.16], [95, 496.16]]"
534,cortex,100.5,490.83308037306256,115.109,"[[106, 485.51], [95, 485.51], [95, 496.16], [106, 496.16]]"
535,epidermis,111.0,490.83308037306256,156.525,"[[116, 485.51], [106, 485.51], [106, 496.16], [116, 496.16]]"
536,epidermis,31.0,501.34809383931315,155.759,"[[36, 496.16], [26, 496.16], [26, 506.54], [36, 506.54]]"
537,cortex,41.5,501.34809383931315,113.585,"[[47, 496.16], [36, 496.16], [36, 506.54], [47, 506.54]]"
538,endo,50.5,501.34809383931315,112.304,"[[54, 496.16], [47, 496.16], [47, 506.54], [54, 506.54]]"
539,peri,56.5,501.34809383931315,109.601,"[[59, 496.16], [54, 496.16], [54, 506.54], [59, 506.54]]"
540,vasc,61.0,501.34809383931315,105.306,"[[63, 496.16], [59, 496.16], [59, 506.54], [63, 506.54]]"
541,vasc,65.0,501.34809383931315,96.0749,"[[67, 496.16], [63, 496.16], [63, 506.54], [67, 506.54]]"
542,vasc,69.0,501.34809383931315,91.91,"[[71, 496.16], [67, 496.16], [67, 506.54], [71, 506.54]]"
543,vasc,73.0,501.34809383931315,91.91,"[[75, 496.16], [71, 496.16], [71, 506.54], [75, 506.54]]"
544,vasc,77.0,501.34809383931315,96.0749,"[[79, 496.16], [75, 496.16], [75, 506.54], [79, 506.54]]"
545,vasc,81.0,501.34809383931315,105.306,"[[83, 496.16], [79, 496.16], [79, 506.54], [83, 506.54]]"
546,peri,85.5,501.34809383931315,109.601,"[[88, 496.16], [83, 496.16], [83, 506.54], [88, 506.54]]"
547,endo,91.5,501.34809383931315,112.304,"[[95, 496.16], [88, 496.16], [88, 506.54], [95, 506.54]]"
548,cortex,100.5,501.34809383931315,113.585,"[[106, 496.16], [95, 496.16], [95, 506.54], [106, 506.54]]"
549,epidermis,111.0,501.34809383931315,155.759,"[[116, 496.16], [106, 496.16], [106, 506.54], [116, 506.54]]"
550,epidermis,31.0,511.5739796382035,156.428,"[[36, 506.54], [26, 506.54], [26, 516.61], [36, 516.61]]"
551,cortex,41.5,511.5739796382035,111.632,"[[47, 506.54], [36, 506.54], [36, 516.61], [47, 516.61]]"
552,endo,50.5,511.5739796382035,107.812,"[[54, 506.54], [47, 506.54], [47, 516.61], [54, 516.61]]"
553,peri,56.5,511.5739796382035,103.783,"[[59, 506.54], [54, 506.54], [54, 516.61], [59, 516.61]]"
554,vasc,61.0,511.5739796382035,98.8909,"[[63, 506.54], [59, 506.54], [59, 516.61], [63, 516.61]]"
555,vasc,65.0,511.5739796382035,88.6538,"[[67, 506.54], [63, 506.54], [63, 516.61], [67, 516.61]]"
556,vasc,69.0,511.5739796382035,84.3955,"[[71, 506.54], [67, 506.54], [67, 516.61], [71, 516.61]]"
557,vasc,73.0,511.5739796382035,84.3955,"[[75, 506.54], [71, 506.54], [71, 516.61], [75, 516.61]]"
558,vasc,77.0,511.5739796382035,88.6538,"[[79, 506.54], [75, 506.54], [75, 516.61], [79, 516.61]]"
559,vasc,81.0,511.5739796382035,98.8909,"[[83, 506.54], [79, 506.54], [79, 516.61], [83, 516.61]]"
560,peri,85.5,511.5739796382035,103.783,"[[88, 506.54], [83, 506.54], [83, 516.61], [88, 516.61]]"
561,endo,91.5,511.5739796382035,107.812,"[[95, 506.54], [88, 506.54], [88, 516.61], [95, 516.61]]"
562,cortex,100.5,511.5739796382035,111.632,"[[106, 506.54], [95, 506.54], [95, 516.61], [106, 516.61]]"
563,epidermis,111.0,511.5739796382035,156.428,"[[116, 506.54], [106, 506.54], [106, 516.61], [116, 516.61]]"
564,epidermis,31.0,521.5181715033405,159.909,"[[36, 516.61], [26, 516.61], [26, 526.43], [36, 526.43]]"
