tick,mean,std,min,max
220,1.315205457142857,0.420333212232235,0.67156,1.7827
221,1.3036732285714285,0.41275303046274403,0.671618,1.76287
222,1.2923578857142857,0.40531936437009536,0.671675,1.74339
223,1.2935256666666666,0.39913534580026694,0.671731,1.72426
224,1.2823887777777778,0.39194314854840157,0.671786,1.70547
225,1.2714480833333335,0.3848756810168213,0.67184,1.68686
226,1.2607088611111112,0.377941018335107,0.671893,1.66859
227,1.2501624166666667,0.37113096185217004,0.671946,1.65064
228,1.2398108055555557,0.36444898235090395,0.671998,1.63302
229,1.2296408055555554,0.35788240054991544,0.672049,1.61571
230,1.219653111111111,0.35143332798863935,0.672099,1.59872
231,1.2098448333333334,0.3451002613568867,0.672148,1.58206
232,1.2002172777777778,0.3388861358928283,0.672196,1.56578
233,1.1907628611111112,0.33278389372245615,0.672243,1.54979
234,1.1907628611111112,0.33278389372245615,0.672243,1.54979
